distance_from_food_x,distance_from_food_y,action
-0.34,-0.006,RIGHT
-0.33,-0.006,RIGHT
-0.32,-0.006,RIGHT
-0.31,-0.006,RIGHT
-0.3,-0.006,RIGHT
-0.29,-0.006,RIGHT
-0.28,-0.006,RIGHT
-0.27,-0.006,RIGHT
-0.26,-0.006,RIGHT
-0.25,-0.006,RIGHT
-0.24,-0.006,RIGHT
-0.23,-0.006,RIGHT
-0.22,-0.006,RIGHT
-0.21,-0.006,RIGHT
-0.2,-0.006,RIGHT
-0.19,-0.006,RIGHT
-0.18,-0.006,RIGHT
-0.17,-0.006,RIGHT
-0.16,-0.006,RIGHT
-0.15,-0.006,RIGHT
-0.14,-0.006,RIGHT
-0.13,-0.006,RIGHT
-0.12,-0.006,RIGHT
-0.11,-0.006,RIGHT
-0.1,-0.006,RIGHT
-0.09,-0.006,RIGHT
-0.08,-0.006,RIGHT
-0.07,-0.006,RIGHT
-0.06,-0.006,RIGHT
-0.05,-0.006,RIGHT
-0.04,-0.006,RIGHT
-0.03,-0.006,RIGHT
-0.02,-0.006,RIGHT
0.652,0.416,RIGHT
0.652,0.406,UP
0.652,0.396,UP
0.652,0.386,UP
0.652,0.376,UP
0.652,0.366,UP
0.652,0.356,UP
0.652,0.346,UP
0.652,0.336,UP
0.652,0.326,UP
0.652,0.316,UP
0.652,0.306,UP
0.652,0.296,UP
0.652,0.286,UP
0.652,0.276,UP
0.652,0.266,UP
0.652,0.256,UP
0.652,0.246,UP
0.652,0.236,UP
0.652,0.226,UP
0.652,0.216,UP
0.652,0.206,UP
0.652,0.196,UP
0.652,0.186,UP
0.652,0.176,UP
0.652,0.166,UP
0.652,0.156,UP
0.652,0.146,UP
0.652,0.136,UP
0.652,0.126,UP
0.652,0.116,UP
0.652,0.106,UP
0.652,0.096,UP
0.652,0.086,UP
0.652,0.076,UP
0.652,0.066,UP
0.652,0.056,UP
0.652,0.046,UP
0.652,0.036,UP
0.652,0.026,UP
0.642,0.026,LEFT
0.632,0.026,LEFT
0.622,0.026,LEFT
0.612,0.026,LEFT
0.602,0.026,LEFT
0.592,0.026,LEFT
0.582,0.026,LEFT
0.572,0.026,LEFT
0.562,0.026,LEFT
0.552,0.026,LEFT
0.542,0.026,LEFT
0.532,0.026,LEFT
0.522,0.026,LEFT
0.512,0.026,LEFT
0.502,0.026,LEFT
0.492,0.026,LEFT
0.482,0.026,LEFT
0.472,0.026,LEFT
0.462,0.026,LEFT
0.462,0.016,UP
0.452,0.016,LEFT
0.442,0.016,LEFT
0.432,0.016,LEFT
0.422,0.016,LEFT
0.412,0.016,LEFT
0.402,0.016,LEFT
0.392,0.016,LEFT
0.382,0.016,LEFT
0.372,0.016,LEFT
0.362,0.016,LEFT
0.352,0.016,LEFT
0.342,0.016,LEFT
0.332,0.016,LEFT
0.322,0.016,LEFT
0.312,0.016,LEFT
0.302,0.016,LEFT
0.292,0.016,LEFT
0.282,0.016,LEFT
0.272,0.016,LEFT
0.262,0.016,LEFT
0.252,0.016,LEFT
0.242,0.016,LEFT
0.232,0.016,LEFT
0.222,0.016,LEFT
0.212,0.016,LEFT
0.202,0.016,LEFT
0.192,0.016,LEFT
0.182,0.016,LEFT
0.172,0.016,LEFT
0.162,0.016,LEFT
0.152,0.016,LEFT
0.142,0.016,LEFT
0.132,0.016,LEFT
0.122,0.016,LEFT
0.112,0.016,LEFT
0.102,0.016,LEFT
0.092,0.016,LEFT
0.082,0.016,LEFT
0.072,0.016,LEFT
0.062,0.016,LEFT
0.052,0.016,LEFT
0.042,0.016,LEFT
0.032,0.016,LEFT
0.022,0.016,LEFT
0.218,-0.034,LEFT
0.218,-0.024,DOWN
0.218,-0.014,DOWN
0.208,-0.014,LEFT
0.198,-0.014,LEFT
0.188,-0.014,LEFT
0.178,-0.014,LEFT
0.168,-0.014,LEFT
0.158,-0.014,LEFT
